0016B3D270A9C97E2A5DF8C7F063DABECB09BBF93BE090F9DE2BE65E91E178BE Tempo decorrido Download = 2.23 segundos, CPU = 1%, Memoria = 13776 KiB
0016D40668E1669A70EACDE221B3EEABB47565060B91FF8934D9D42E777E7CA8 Tempo decorrido Download = 2.48 segundos, CPU = 1%, Memoria = 13732 KiB
0016F5ED0FE16426C1A2B2B9BD5D2F42E893D9C0004E6E542EB2093D5A7ED705 Tempo decorrido Download = 6.42 segundos, CPU = 0%, Memoria = 13716 KiB
00173A6F404EBCB07E4CD4A877F622C4FCE2F0320DFB4811CF1D9DD5D99F95E0 Tempo decorrido Download = 3.45 segundos, CPU = 1%, Memoria = 13684 KiB
001884E3E90DE260D1274495E574D4ECF5403D7030F9AE4D352A2DC24C06340C Tempo decorrido Download = 10.52 segundos, CPU = 0%, Memoria = 13832 KiB
0018EA6E7CEA36E61B0383B451938EED22BCD473BE4FA9860692985944B720E5 Tempo decorrido Download = 5.02 segundos, CPU = 1%, Memoria = 13768 KiB
001912442A3E0FBF3AE332BC1FA9C4CF7B330BEDC05825D30894965FF2205A48 Tempo decorrido Download = 5.48 segundos, CPU = 1%, Memoria = 13740 KiB
001913E6883C300105C7CE4C4372621F44D57450F8B4F85E598338A035462176 Tempo decorrido Download = 3.75 segundos, CPU = 0%, Memoria = 13596 KiB
0019519DA8E5A665EA3EBF4C3D7CDCCBEA74CC14DE87A00AC18ACD02A68D1841 Tempo decorrido Download = 4.62 segundos, CPU = 0%, Memoria = 13772 KiB
001A7738780E0A5F2FAE69D1C0B9015DA0A72DFD895E2E7C2526510475909ECB Tempo decorrido Download = 2.95 segundos, CPU = 0%, Memoria = 13712 KiB
001C88754DEE6CCCA002F4909109DF90D6F78791B5D25400699FAD5BABED5050 Tempo decorrido Download = 2.11 segundos, CPU = 0%, Memoria = 13748 KiB
001CA3D260A15A01121C33F9EE7576D33DE20C4D42425D5CC18D1337AFF3CB79 Tempo decorrido Download = 3.22 segundos, CPU = 0%, Memoria = 13736 KiB
001D38F5BBD3DB64E62A829C90F447033405BF51DA21E0A474A239099D7B6E21 Tempo decorrido Download = 2.22 segundos, CPU = 0%, Memoria = 13580 KiB
001E0947B0297FB42094763B396D4F9EB8DFE539A1B095A77857A8D6D6A3852B Tempo decorrido Download = 2.02 segundos, CPU = 0%, Memoria = 13660 KiB
001E1D5CC4B94A7F3177E4C607C2015BEBB67C19E707165667EDB4FA6F712ED7 Tempo decorrido Download = 2.47 segundos, CPU = 1%, Memoria = 13836 KiB
001EDF856F5E07D183BCEEEAD3E7147B6A3AE6A24749B2B8144FF08F9727D109 Tempo decorrido Download = 1.37 segundos, CPU = 1%, Memoria = 13540 KiB
001F0C479D193364C3C9258014186BFDFE8E1837300D0F52A9165EAEF12C5846 Tempo decorrido Download = 4.04 segundos, CPU = 0%, Memoria = 13736 KiB
00210A60CA90E42DE0E361EBE7CB3E95ED99EC2B72B0EED931FF704BF425D6C0 Tempo decorrido Download = 2.60 segundos, CPU = 0%, Memoria = 13728 KiB
0022479EA61D9AA4B0CB7E31441C5466C2A784349A27DD9C60693CDB865496CB Tempo decorrido Download = 5.38 segundos, CPU = 0%, Memoria = 13812 KiB
0024F5BA000879C1CC9284B93B5E1FF31A134413353648B163A35A0FD251E2DC Tempo decorrido Download = 2.42 segundos, CPU = 0%, Memoria = 13516 KiB
00257F4F8E3F5B61ABD5C985F0DF6FAE48882FFD977A6EA79341B9E61191B246 Tempo decorrido Download = 2.39 segundos, CPU = 0%, Memoria = 13832 KiB
0025AD53A2C025E8778B77D2D53AD0E3FD47C7A8BCC3282FDEB27ED5928845B4 Tempo decorrido Download = 1.79 segundos, CPU = 0%, Memoria = 13616 KiB
0025F94ED7DEFB1F063B30463612F6795C0C5AA0786D51F49722E17962D2BAE2 Tempo decorrido Download = 1.62 segundos, CPU = 1%, Memoria = 13756 KiB
