00014B2550173B1E6BEF060F5468363BFB0290C35F6FC9A24BC5864D15D20E8E Tempo decorrido Download = 20.81 segundos, CPU = 0%, Memoria = 13664 KiB
00014C61823F4F2DC65A0C427816AE3E8FE02DA5BFEF53F283BCFDF2052FD200 Tempo decorrido Download = 21.59 segundos, CPU = 0%, Memoria = 13720 KiB
00015250E9EBA5F5BB7F8683A453DD3234385440F11BA7428D87FF679D7BC450 Tempo decorrido Download = 19.76 segundos, CPU = 0%, Memoria = 13692 KiB
000156406C2FF5FDB2B8455C759F3EAD345A62BF847AF1732759673C5AB14EC9 Tempo decorrido Download = 10.10 segundos, CPU = 0%, Memoria = 13756 KiB
0001605A9CCEA2039E2C037E937A1CBB5FFFE7181AEA3B2CF7AECE709EA04CB6 Tempo decorrido Download = 10.49 segundos, CPU = 0%, Memoria = 13524 KiB
00016E5FB49D5BEE6DAD8319AB4DE637FE0A5371A57257312FA325085F24E7AF Tempo decorrido Download = 10.04 segundos, CPU = 0%, Memoria = 13816 KiB
000175FC4B21200DD8042E747B8095662934FEA215F05C85FD3558F52766AAAC Tempo decorrido Download = 15.74 segundos, CPU = 0%, Memoria = 13724 KiB
00017B556E3D8C34719A741D52507053246D2E3AF96A1A62649B65ACE1FB3D1D Tempo decorrido Download = 13.26 segundos, CPU = 0%, Memoria = 13652 KiB
0001846947C1A3E12F86278E53EFAAD03EECCF8F72D08FC40811261A500EE565 Tempo decorrido Download = 11.24 segundos, CPU = 0%, Memoria = 13816 KiB
000186F14A4B204F0F40627EA5480004C939AC80D8BAA203A510E55BD6FE5C78 Tempo decorrido Download = 10.43 segundos, CPU = 0%, Memoria = 13784 KiB
0001893E433A097FDD8F04B0AA5189DADBA2E4239F9CF7047DFEB58BC7CCE69C Tempo decorrido Download = 8.90 segundos, CPU = 0%, Memoria = 13808 KiB
00018985A75FF483A681B6600CF8A86F0AC3FC45B75842B15C3527AD0676B95B Tempo decorrido Download = 17.96 segundos, CPU = 0%, Memoria = 13680 KiB
00019594C817CBD56F7BDA7A91674037E2C06A20AE09BC72020B0FF28B48FF97 Tempo decorrido Download = 19.45 segundos, CPU = 0%, Memoria = 13668 KiB
000197262EE5F0A319A85F2AA8F8D38B24F4A9F1E3BE73A49027A615CD677B49 Tempo decorrido Download = 6.41 segundos, CPU = 0%, Memoria = 13784 KiB
00019A590B24449C7EA368B25D3143481311E4DE70CEF5D3B46B5C1809FD677C Tempo decorrido Download = 14.28 segundos, CPU = 0%, Memoria = 13716 KiB
00019EF7ADA4B4F1AAFA1F1A9200FE8F2057E5825939CC819324896BEBEBAEBC Tempo decorrido Download = 17.20 segundos, CPU = 0%, Memoria = 13572 KiB
0001A12571D3BE26FC87FC800E5629C4E3952A1E76A0EA1DA5EA8796577799C0 Tempo decorrido Download = 12.53 segundos, CPU = 0%, Memoria = 13696 KiB
0001A65824846F752754EA93DF0AF3ECB4387E98D64E3A1A329FB62A6D53371F Tempo decorrido Download = 18.87 segundos, CPU = 0%, Memoria = 13808 KiB
